trip_id,zone,hour,is_peak,is_weekend,is_rain,is_event_nearby,is_airport_pickup,traffic_speed_kmph,drivers_available_500m,open_requests_500m,historical_demand,distance_km,time_min,base_fare_inr,surge_additive_inr,final_fare_inr,demand_supply_ratio,is_bad_weather
24,Navi Mumbai,22,0,0,0,0,1,43.5,22,12,12.0,9.28,19.5,190.4,54.4,244.8,0.545,0
25,Lower Parel,18,1,0,0,0,0,30.2,11,22,21.4,12.49,38.9,267.7,99.3,367.0,2.0,0
26,CSMIA T2,15,0,0,0,0,0,46.2,15,20,17.6,12.53,22.6,235.6,45.5,281.1,1.333,0
27,Andheri East,9,1,0,0,1,0,30.6,14,36,34.4,13.83,46.1,298.2,121.0,419.2,2.571,0
28,Colaba,19,1,0,0,1,0,36.7,15,26,25.5,14.96,43.3,306.1,101.9,408.0,1.733,0
29,Powai,13,0,0,0,0,0,43.0,21,21,21.3,13.55,29.2,261.0,31.1,292.1,1.0,0
30,Dadar,10,1,0,1,0,0,19.1,3,29,30.8,16.22,39.6,313.8,150.0,463.8,9.667,1
31,Dadar,10,1,0,0,0,0,34.2,12,26,29.2,13.25,36.0,271.0,102.2,373.2,2.167,0
32,CSMIA T2,5,0,1,0,0,0,39.1,24,16,15.1,11.68,27.1,234.4,49.4,283.8,0.667,0
33,Navi Mumbai,2,0,0,0,0,0,47.8,25,10,8.6,12.91,26.7,248.3,23.7,272.0,0.4,0
34,Lower Parel,13,0,0,1,0,0,37.5,14,20,21.3,3.82,3.0,91.8,84.1,175.9,1.429,0
35,Lower Parel,21,1,0,1,0,0,22.3,5,18,19.8,6.92,29.0,181.0,147.3,328.3,3.6,1
36,Thane,1,0,0,0,0,0,53.1,16,14,12.7,11.49,21.3,220.5,14.1,234.6,0.875,0
37,Colaba,20,1,1,1,0,0,20.2,13,23,25.4,17.71,51.7,355.9,150.0,505.9,1.769,1
38,BKC,19,1,0,0,0,0,41.3,17,29,31.9,14.22,40.2,291.0,88.9,379.9,1.706,0
39,Thane,6,0,1,0,0,0,45.0,25,19,22.9,3.63,7.9,99.4,22.1,121.5,0.76,0
40,Dadar,15,0,0,1,0,0,31.3,7,21,26.3,12.66,28.9,249.7,85.1,334.8,3.0,0
41,BKC,3,0,0,0,1,0,46.3,21,21,18.4,5.99,9.3,130.5,50.8,181.3,1.0,0
42,Navi Mumbai,18,1,0,0,0,0,27.2,14,34,34.0,15.21,39.4,301.3,126.2,427.5,2.429,0
43,Dadar,16,0,1,1,1,0,33.6,13,24,24.0,16.89,33.2,309.1,87.2,396.3,1.846,0
44,Dadar,8,1,0,0,1,0,33.8,11,35,34.7,12.68,39.8,271.8,119.3,391.1,3.182,0
45,Thane,1,0,0,1,0,0,39.5,13,18,16.1,12.64,21.3,234.3,60.8,295.1,1.385,0
46,Colaba,23,0,0,1,0,0,34.2,7,25,20.5,8.09,11.2,159.5,81.5,241.0,3.571,0
47,Colaba,10,1,0,0,0,0,36.4,9,24,24.3,10.03,34.5,229.4,88.6,318.0,2.667,0
48,Dadar,21,1,0,1,0,0,28.2,5,23,20.7,17.55,45.3,341.2,137.7,478.9,4.6,0
49,Andheri East,16,0,0,0,0,0,52.5,22,18,18.3,15.02,28.9,278.0,11.8,289.8,0.818,0
50,Andheri East,18,1,0,1,0,0,25.4,9,22,19.6,11.36,29.1,234.5,144.3,378.8,2.444,0
51,Thane,18,1,1,0,0,0,38.1,21,22,18.7,8.63,27.2,198.0,80.7,278.7,1.048,0
52,Lower Parel,4,0,1,0,0,0,37.5,23,14,14.7,2.91,5.8,86.5,32.5,119.0,0.609,0
53,Bandra West,8,1,0,0,0,0,30.6,13,21,21.5,4.57,23.9,142.6,110.2,252.8,1.615,0
54,Lower Parel,11,0,0,0,1,0,42.1,17,21,22.7,5.47,8.6,122.8,66.1,188.9,1.235,0
55,Lower Parel,11,0,0,0,0,0,46.5,21,11,17.6,8.72,22.4,189.4,37.7,227.1,0.524,0
56,Bandra West,1,0,0,0,0,0,43.4,19,12,12.8,18.99,35.9,339.7,20.3,360.0,0.632,0
57,Thane,13,0,0,0,0,0,45.3,28,22,23.5,11.09,20.1,213.3,34.1,247.4,0.786,0
58,Colaba,3,0,0,1,0,1,45.5,13,18,14.8,6.23,17.1,149.0,94.3,243.3,1.385,0
59,Andheri East,17,0,1,0,0,0,45.2,26,13,9.1,3.9,8.4,103.6,21.1,124.7,0.5,0
60,Lower Parel,16,0,1,0,0,0,47.9,27,21,25.7,8.09,14.5,166.1,26.1,192.2,0.778,0
61,Andheri East,22,0,0,1,0,0,36.0,13,15,12.2,16.68,32.9,306.0,80.4,386.4,1.154,0
62,Thane,17,0,1,0,0,0,46.3,23,15,11.9,8.9,21.9,190.6,47.9,238.5,0.652,0
63,Powai,8,1,0,1,0,0,23.0,7,28,27.9,15.91,48.2,327.3,150.0,477.3,4.0,1
64,Powai,23,0,0,0,0,0,48.0,28,14,13.7,16.45,30.4,298.2,9.1,307.3,0.5,0
65,BKC,9,1,0,0,0,1,37.2,14,22,19.3,3.99,19.9,127.7,138.9,266.6,1.571,0
66,Colaba,7,0,0,0,0,0,53.4,29,10,9.1,12.96,26.2,247.9,5.7,253.6,0.345,0
67,CSMIA T2,21,1,1,0,0,0,33.4,24,31,34.7,19.26,47.6,366.3,105.0,471.3,1.292,0
68,Colaba,8,1,1,0,0,0,34.7,19,21,18.6,9.24,30.3,211.5,102.8,314.3,1.105,0
69,Dadar,1,0,0,0,0,0,40.8,25,16,11.8,2.92,5.9,86.8,30.4,117.2,0.64,0
70,Andheri East,11,0,1,1,0,0,36.6,19,16,18.8,18.62,40.7,344.8,84.2,429.0,0.842,0
71,Andheri East,19,1,0,0,0,0,36.2,15,27,28.5,17.91,51.4,357.7,89.6,447.3,1.8,0
72,Navi Mumbai,4,0,0,0,0,0,49.9,26,7,5.1,11.4,21.8,220.4,27.6,248.0,0.269,0
73,BKC,11,0,0,0,0,0,47.0,21,16,11.3,11.94,23.2,229.7,30.6,260.3,0.762,0
74,Colaba,3,0,1,0,0,0,50.0,19,20,17.8,5.81,13.6,136.9,34.5,171.4,1.053,0
75,Powai,16,0,0,0,0,0,48.2,20,16,15.8,16.75,31.7,304.4,26.7,331.1,0.8,0
76,BKC,11,0,0,0,0,0,51.4,25,14,17.5,10.97,23.7,219.0,17.4,236.4,0.56,0
77,Bandra West,7,0,0,1,1,0,38.3,16,32,28.9,2.61,5.0,81.3,107.3,188.6,2.0,0
78,CSMIA T2,5,0,1,0,0,0,44.4,23,10,9.7,14.29,25.7,262.9,39.1,302.0,0.435,0
79,BKC,13,0,1,0,1,0,47.5,30,23,25.0,19.11,35.3,339.9,53.9,393.8,0.767,0
80,Thane,16,0,1,0,0,0,32.8,27,15,7.9,16.92,38.2,319.4,49.5,368.9,0.556,0
81,Bandra West,22,0,1,0,0,0,47.7,23,15,18.1,6.99,13.5,150.9,16.2,167.1,0.652,0
82,Navi Mumbai,10,1,1,0,0,1,15.6,22,21,17.5,2.96,22.8,121.1,150.0,271.1,0.955,0
83,BKC,3,0,0,1,0,0,29.2,13,16,17.0,18.93,36.3,339.8,89.0,428.8,1.231,0
84,Thane,19,1,0,1,0,0,25.0,4,30,30.7,18.87,50.6,367.6,150.0,517.6,7.5,0
85,BKC,15,0,1,0,1,1,48.1,27,24,27.3,11.58,30.3,239.6,80.3,319.9,0.889,0
86,CSMIA T2,16,0,0,1,0,0,31.8,16,18,19.7,13.56,23.9,250.5,87.8,338.3,1.125,0
87,Dadar,2,0,0,0,0,0,42.8,19,12,4.9,10.33,15.0,194.0,51.2,245.2,0.632,0
88,Powai,7,0,0,1,0,0,43.2,11,14,11.6,9.56,23.0,200.7,81.5,282.2,1.273,0
89,BKC,18,1,1,1,0,0,20.8,8,27,27.4,4.15,17.8,125.4,150.0,275.4,3.375,1
90,Dadar,19,1,0,0,0,0,42.1,7,36,35.4,3.74,19.4,123.7,73.8,197.5,5.143,0
91,BKC,10,1,1,0,1,0,32.0,16,32,33.4,6.19,22.6,159.5,134.7,294.2,2.0,0
92,Dadar,19,1,0,1,0,0,24.8,7,34,36.4,17.06,46.9,338.5,146.0,484.5,4.857,1
93,Navi Mumbai,20,1,0,0,0,0,39.3,20,27,28.8,4.62,18.4,132.2,85.0,217.2,1.35,0
94,Lower Parel,9,1,1,0,0,0,32.6,20,26,25.4,6.08,23.6,160.2,93.8,254.0,1.3,0
95,Lower Parel,21,1,0,1,0,0,18.5,5,32,26.5,11.88,37.1,256.8,150.0,406.8,6.4,1
96,Lower Parel,6,0,0,0,0,0,45.5,25,15,13.6,5.87,8.7,127.8,16.2,144.0,0.6,0
97,Lower Parel,5,0,0,1,0,0,36.8,15,21,22.2,4.94,7.8,114.9,85.9,200.8,1.4,0
98,Andheri East,16,0,1,0,0,0,39.9,26,11,7.7,12.14,23.2,232.1,34.2,266.3,0.423,0
99,Lower Parel,15,0,0,0,1,0,44.8,19,20,21.9,8.63,13.0,169.6,83.5,253.1,1.053,0
100,Dadar,3,0,0,0,0,0,42.7,33,18,20.7,13.27,25.3,249.8,25.2,275.0,0.545,0
101,Powai,19,1,1,1,0,0,27.2,8,35,35.4,18.42,49.2,359.4,128.6,488.0,4.375,0
102,Navi Mumbai,4,0,1,1,0,0,37.2,32,23,13.8,4.72,8.2,113.0,82.2,195.2,0.719,0
103,Thane,19,1,0,0,1,0,30.7,16,27,23.2,18.44,48.1,357.5,136.8,494.3,1.688,0
104,Navi Mumbai,0,0,0,0,0,0,45.5,14,9,14.7,18.24,36.4,331.7,33.0,364.7,0.643,0
105,Bandra West,19,1,0,0,1,0,33.0,12,28,26.4,16.92,43.9,330.8,123.6,454.4,2.333,0
106,Powai,18,1,0,0,0,0,34.8,14,25,19.0,13.36,40.8,281.9,75.3,357.2,1.786,0
107,CSMIA T2,18,1,0,1,0,0,18.5,5,24,27.7,13.16,42.6,283.1,150.0,433.1,4.8,1
108,Lower Parel,15,0,0,1,0,0,32.3,18,23,23.0,13.51,25.6,253.3,77.3,330.6,1.278,0
109,Colaba,11,0,0,0,0,0,51.0,28,20,23.3,14.43,30.3,273.8,0.8,274.6,0.714,0
110,Colaba,16,0,0,1,0,1,35.1,11,18,18.8,2.3,3.9,75.4,110.1,185.5,1.636,0
111,Navi Mumbai,6,0,0,0,0,0,39.6,16,10,11.4,19.25,39.6,350.2,21.3,371.5,0.625,0
112,Bandra West,18,1,0,0,0,0,34.0,8,13,14.1,12.54,41.8,274.1,84.3,358.4,1.625,0
113,Navi Mumbai,13,0,0,0,1,1,48.1,15,15,17.1,16.07,33.7,300.2,66.6,366.8,1.0,0
114,CSMIA T2,11,0,1,1,1,0,30.1,27,23,29.8,8.79,12.3,170.1,103.3,273.4,0.852,0
115,Powai,12,0,1,0,0,0,47.0,27,12,14.9,2.22,5.8,78.2,31.7,109.9,0.444,0
116,Thane,13,0,1,0,0,0,49.3,30,16,11.3,11.18,26.1,226.4,26.1,252.5,0.533,0
117,Andheri East,0,0,0,0,0,0,47.7,18,17,18.3,11.13,21.6,216.8,36.2,253.0,0.944,0
118,CSMIA T2,3,0,0,0,0,0,48.8,16,14,17.4,9.87,22.7,203.8,32.9,236.7,0.875,0
119,Andheri East,5,0,1,0,0,0,39.7,36,19,22.6,8.11,14.1,165.5,53.4,218.9,0.528,0
120,Thane,2,0,0,1,0,0,38.5,18,18,16.7,6.5,8.5,135.0,75.6,210.6,1.0,0
121,Powai,10,1,0,0,0,0,30.6,8,23,26.5,11.5,35.4,248.8,107.4,356.2,2.875,0
122,CSMIA T2,16,0,0,0,0,0,43.8,22,9,11.8,8.76,12.3,169.7,39.7,209.4,0.409,0
123,Andheri East,15,0,0,0,1,0,49.9,19,30,37.7,19.46,38.2,349.9,44.1,394.0,1.579,0
124,Colaba,11,0,1,0,0,0,52.7,28,16,13.7,5.11,14.1,129.5,12.4,141.9,0.571,0
125,CSMIA T2,20,1,0,0,1,0,40.1,19,27,25.5,7.75,21.8,176.6,99.0,275.6,1.421,0
126,BKC,13,0,1,1,0,0,42.9,13,35,34.1,7.29,10.7,148.9,59.6,208.5,2.692,0
127,Lower Parel,1,0,0,0,0,0,45.5,20,14,12.5,11.78,20.5,222.4,35.6,258.0,0.7,0
128,BKC,18,1,0,0,0,0,33.6,12,19,16.3,10.99,33.8,239.5,95.7,335.2,1.583,0
129,Powai,13,0,0,0,0,0,49.5,19,14,5.7,13.59,26.1,255.3,16.9,272.2,0.737,0
130,Powai,15,0,0,1,0,0,37.5,16,16,14.7,19.1,42.4,354.0,71.3,425.3,1.0,0
131,Dadar,13,0,0,1,1,0,37.6,17,17,18.1,7.13,17.1,159.8,85.5,245.3,1.0,0
132,Lower Parel,13,0,0,0,0,0,49.7,27,23,21.5,14.47,30.4,274.4,32.2,306.6,0.852,0
133,Andheri East,2,0,1,0,0,0,45.7,27,15,20.8,2.45,5.3,80.0,31.2,111.2,0.556,0
134,Andheri East,13,0,0,1,0,0,33.7,14,17,17.0,6.72,14.6,149.8,77.3,227.1,1.214,0
135,CSMIA T2,19,1,1,1,0,0,21.1,16,24,27.9,10.35,30.1,224.4,150.0,374.4,1.5,1
136,CSMIA T2,7,0,1,0,0,0,48.9,23,20,20.8,2.56,7.7,86.1,18.7,104.8,0.87,0
137,Lower Parel,14,0,0,0,0,0,46.0,18,12,14.5,13.12,22.9,243.2,16.6,259.8,0.667,0
138,Andheri East,0,0,1,0,0,1,47.5,30,14,14.8,14.21,30.9,272.3,61.8,334.1,0.467,0
139,BKC,8,1,0,0,0,0,35.0,15,22,26.1,15.44,46.4,318.1,87.8,405.9,1.467,0
140,CSMIA T2,10,1,0,0,0,0,30.3,9,23,23.2,11.3,35.2,246.0,100.3,346.3,2.556,0
141,Navi Mumbai,23,0,1,1,0,0,40.4,14,20,21.5,12.87,25.2,244.8,72.9,317.7,1.429,0
142,Navi Mumbai,5,0,1,0,1,0,47.7,27,23,24.1,9.13,19.5,188.6,57.8,246.4,0.852,0
143,Lower Parel,6,0,0,0,0,0,40.4,27,13,12.1,2.74,3.0,78.9,41.2,120.1,0.481,0
144,Dadar,9,1,0,1,0,0,29.5,5,31,32.2,3.8,20.5,126.6,127.3,253.9,6.2,0
145,BKC,23,0,0,0,0,0,43.7,26,13,19.7,13.79,27.2,259.9,39.9,299.8,0.5,0
146,Dadar,20,1,1,0,1,0,24.6,20,32,31.2,19.92,51.7,382.4,128.3,510.7,1.6,0
147,Bandra West,0,0,0,1,0,0,32.3,13,24,25.3,2.28,6.7,80.8,107.9,188.7,1.846,0
148,Powai,5,0,0,0,0,0,41.4,14,10,13.8,12.04,23.9,232.3,40.5,272.8,0.714,0
149,Navi Mumbai,19,1,0,1,0,0,23.2,5,32,35.4,15.52,39.6,305.4,129.6,435.0,6.4,1
150,Dadar,1,0,0,0,0,1,44.8,24,16,16.0,16.88,33.3,309.2,61.0,370.2,0.667,0
151,Colaba,20,1,0,1,0,0,21.5,7,25,17.8,11.81,35.8,253.3,150.0,403.3,3.571,1
152,Andheri East,6,0,1,1,1,0,39.8,16,24,25.6,13.16,26.7,251.3,109.1,360.4,1.5,0
153,BKC,22,0,0,0,0,0,47.5,17,11,4.3,14.54,29.6,273.7,46.1,319.8,0.647,0
154,CSMIA T2,7,0,0,0,0,1,47.4,14,12,16.4,17.46,38.0,325.5,43.3,368.8,0.857,0
155,Lower Parel,10,1,0,1,0,0,24.8,14,20,20.5,4.2,17.1,124.6,150.0,274.6,1.429,1
156,Powai,15,0,1,0,0,0,48.8,25,12,15.0,18.67,37.9,339.8,17.1,356.9,0.48,0
157,Dadar,3,0,1,1,1,0,27.5,21,21,18.3,2.47,8.8,87.2,119.5,206.7,1.0,0
158,Lower Parel,13,0,0,0,0,0,44.4,25,13,8.3,17.05,28.9,302.4,20.4,322.8,0.52,0
159,Powai,12,0,0,1,0,0,27.2,13,16,16.8,3.38,7.3,95.2,92.7,187.9,1.231,0
160,Navi Mumbai,18,1,0,0,0,0,32.2,9,17,16.9,5.5,21.2,148.4,93.8,242.2,1.889,0
161,Bandra West,23,0,0,0,0,0,46.0,29,11,9.5,2.07,3.0,70.8,38.7,109.5,0.379,0
162,Dadar,15,0,1,0,1,0,50.7,26,21,21.3,10.01,17.3,194.7,48.5,243.2,0.808,0
163,BKC,9,1,0,0,0,0,37.3,8,22,30.3,8.02,27.5,191.2,93.7,284.9,2.75,0
164,Colaba,9,1,0,1,0,0,23.9,6,32,34.5,4.99,27.5,154.9,135.8,290.7,5.333,1
165,Colaba,10,1,1,0,0,0,29.7,21,32,35.1,10.12,28.4,218.2,99.8,318.0,1.524,0
166,Dadar,19,1,0,0,0,1,34.2,18,29,31.5,9.24,27.0,204.9,111.8,316.7,1.611,0
167,Andheri East,7,0,0,0,0,0,43.6,22,13,17.4,15.82,27.7,285.2,43.7,328.9,0.591,0
168,Andheri East,4,0,0,1,1,0,37.0,12,28,27.4,18.08,41.3,339.6,111.6,451.2,2.333,0
169,Navi Mumbai,8,1,0,1,0,0,27.4,9,30,23.8,13.75,38.1,281.2,150.0,431.2,3.333,0
170,Dadar,0,0,0,0,0,0,43.5,16,18,17.4,4.24,8.4,107.7,28.4,136.1,1.125,0
171,Thane,2,0,0,0,0,0,49.6,25,16,18.4,7.32,13.4,154.6,0.0,154.6,0.64,0
172,Lower Parel,2,0,0,0,0,0,49.0,19,9,6.1,18.44,34.0,329.3,6.8,336.1,0.474,0
173,CSMIA T2,18,1,0,1,1,1,18.7,9,32,31.5,3.6,18.5,120.2,150.0,270.2,3.556,1
174,Lower Parel,17,0,0,0,0,0,50.4,19,14,11.9,9.32,26.0,203.8,17.7,221.5,0.737,0
175,Dadar,16,0,0,0,0,0,49.1,16,14,18.5,18.97,42.1,351.8,17.2,369.0,0.875,0
176,Andheri East,11,0,0,0,0,0,46.5,24,20,22.2,19.11,35.7,340.7,45.4,386.1,0.833,0
177,CSMIA T2,17,0,0,0,1,0,42.6,20,28,30.0,9.4,20.7,194.2,69.8,264.0,1.4,0
178,Powai,3,0,0,0,0,0,42.1,15,13,14.9,14.01,25.5,259.1,39.2,298.3,0.867,0
179,Thane,21,1,1,0,0,0,29.6,14,24,23.9,10.22,27.1,216.8,101.2,318.0,1.714,0
180,Powai,12,0,1,0,0,0,48.4,33,15,15.6,15.56,34.2,295.1,23.3,318.4,0.455,0
181,Navi Mumbai,22,0,0,0,0,0,41.7,17,13,9.4,2.57,8.6,88.0,41.6,129.6,0.765,0
182,Colaba,3,0,0,0,0,0,48.0,16,14,7.4,4.59,12.3,119.7,42.9,162.6,0.875,0
183,BKC,11,0,0,0,0,1,40.4,29,19,19.5,13.06,24.7,246.1,70.1,316.2,0.655,0
184,Andheri East,16,0,0,0,0,0,45.1,16,15,16.0,6.19,11.9,138.1,40.0,178.1,0.938,0
185,Dadar,11,0,0,0,0,0,46.5,19,19,22.6,13.99,30.2,268.3,41.2,309.5,1.0,0
186,Andheri East,10,1,0,1,0,0,34.0,8,20,24.7,8.32,29.8,199.4,115.9,315.3,2.5,0
187,Lower Parel,3,0,0,0,0,0,39.8,26,18,22.7,17.96,34.7,324.9,49.8,374.7,0.692,0
188,Bandra West,9,1,0,1,1,0,29.6,12,36,33.0,16.75,40.6,322.2,150.0,472.2,3.0,0
189,Lower Parel,5,0,0,0,0,0,46.7,14,8,6.9,10.87,22.1,214.6,4.8,219.4,0.571,0
190,Andheri East,7,0,0,0,0,0,47.9,20,12,13.4,15.91,35.1,301.1,5.3,306.4,0.6,0
191,Dadar,16,0,1,0,0,0,46.5,26,10,17.6,6.88,10.2,143.0,18.7,161.7,0.385,0
192,Dadar,15,0,0,0,1,1,48.0,16,28,32.4,10.9,23.7,218.2,77.3,295.5,1.75,0
193,Navi Mumbai,14,0,1,0,0,0,45.3,28,13,16.4,5.55,12.1,130.8,32.3,163.1,0.464,0
194,CSMIA T2,8,1,0,1,0,0,29.5,11,32,30.8,17.5,49.3,348.6,137.0,485.6,2.909,0
195,Andheri East,23,0,1,1,1,0,34.9,26,18,15.4,16.82,36.3,314.4,121.6,436.0,0.692,0
196,Colaba,2,0,1,0,0,0,51.1,30,20,22.4,18.24,34.4,327.7,6.7,334.4,0.667,0
197,Lower Parel,8,1,1,1,0,0,20.1,10,37,33.7,17.79,42.7,338.9,150.0,488.9,3.7,1
198,CSMIA T2,2,0,1,0,0,0,45.7,22,23,22.3,19.27,36.9,345.0,33.8,378.8,1.045,0
199,Bandra West,8,1,1,1,0,0,18.2,14,26,25.7,6.11,26.9,167.1,149.6,316.7,1.857,1
200,BKC,23,0,0,0,0,0,48.0,20,14,18.8,18.77,35.9,337.0,26.7,363.7,0.7,0
